date,action,ticker,shares,price,cost,tax,gain
2013-02-28,BUY,IWDA.L,31.0,32.755001068115234,1.035963,,
2013-11-29,SELL,IWDA.L,263.0,38.66999816894531,10.170209518432618,0.0,1010.9145774841309
2013-11-29,BUY,CNDX.L,60.0,188.25999450683597,11.351050700965699,,
2016-03-31,SELL,CNDX.L,175.0,246.3600006103516,43.11300010681153,0.0,6012.16059875489
2016-03-31,BUY,CBU0.L,328.0,141.38499450683594,46.51097303167282,,
2016-04-29,SELL,CBU0.L,328.0,141.30999755859375,46.34967919921875,0.0,-24.5989990234375
2016-04-29,BUY,CNDX.L,200.0,236.41000366210935,47.42939646041848,,
2016-05-31,SELL,CNDX.L,200.0,247.9600067138672,49.592001342773436,0.0,2310.00061035157
2016-05-31,BUY,CBU0.L,358.0,141.1699981689453,50.678258752966855,,
2016-06-30,SELL,CBU0.L,358.0,145.6649932861328,52.148067596435546,0.0,1609.208251953125
2016-06-30,BUY,CNDX.L,220.0,241.02999877929688,53.22052375857058,,
2016-09-30,SELL,CNDX.L,226.0,268.29998779296875,60.63579724121094,0.0,6042.117462158203
2016-09-30,BUY,EIMI.L,2666.0,23.31999969482422,62.254362373569,,
2016-10-31,SELL,EIMI.L,2666.0,23.13999938964844,61.691238372802744,0.0,-479.88081359862554
2016-10-31,BUY,CNDX.L,236.0,265.07000732421875,62.686419039224,,
2016-11-30,SELL,CNDX.L,236.0,266.7900085449219,62.962442016601564,0.0,405.9202880859375
2016-11-30,BUY,EIMI.L,2910.0,21.96999931335449,64.00257354625411,,
2017-04-28,SELL,EIMI.L,3083.0,25.18000030517578,77.62994094085694,0.0,9633.142965316772
2017-04-28,BUY,CNDX.L,254.0,308.1400146484375,78.6444794560738,,
2017-12-29,SELL,CNDX.L,273.0,358.2099914550781,97.79132766723633,0.0,13272.563903808594
2017-12-29,BUY,EIMI.L,3301.0,30.25,99.9706744175891,,
2018-03-30,SELL,EIMI.L,3366.0,30.770000457763672,103.57182154083252,0.0,1651.0215435028076
2018-03-30,BUY,CNDX.L,287.0,363.0700073242188,104.56682901775348,,
2018-04-30,SELL,CNDX.L,287.0,370.6799926757813,106.38515789794924,0.0,2184.0657958984375
2018-04-30,BUY,EIMI.L,3536.0,30.38999938964844,107.59020151673622,,
2018-06-29,SELL,EIMI.L,3571.0,28.049999237060547,100.16654727554321,0.0,-8320.090587615981
2018-06-29,BUY,CNDX.L,256.0,394.010009765625,101.16182130163796,,
2019-01-31,SELL,CNDX.L,268.0,385.0750122070313,103.2001032714844,0.0,-2427.3191528320167
2019-01-31,BUY,CBU0.L,745.0,141.94000244140625,105.89245268209284,,
2019-03-29,SELL,CBU0.L,752.0,145.14999389648438,109.15279541015626,0.0,2417.3436126708984
2019-03-29,BUY,CNDX.L,267.0,411.2300109863281,110.22780772480148,,
2021-06-30,SELL,CNDX.L,307.0,821.3400268554688,252.15138824462892,0.0,121177.3454284668
2021-06-30,BUY,EIMI.L,6743.0,38.59000015258789,260.48959284211884,,
2021-07-30,SELL,EIMI.L,6743.0,36.52000045776367,246.25436308670044,0.0,-13958.007942199707
2021-07-30,BUY,CNDX.L,292.0,843.3599853515625,247.1535610939903,,
2021-09-30,SELL,CNDX.L,293.0,838.1400146484375,245.57502429199218,0.0,-1565.2614135742188
2021-09-30,BUY,IWDA.L,2963.0,83.37000274658203,247.35188267488013,,
2021-10-29,SELL,IWDA.L,2963.0,87.5199966430664,259.32175005340576,0.0,12296.431915283203
2021-10-29,BUY,CNDX.L,292.0,889.4199829101562,260.27036110743506,,
2022-02-28,SELL,CNDX.L,295.0,807.3499755859375,238.16824279785158,0.0,-24213.552185058594
2022-02-28,BUY,IWDA.L,2902.0,82.66999816894531,240.1849319556412,,
2022-03-31,SELL,IWDA.L,2902.0,85.58000183105469,248.3531653137207,0.0,8444.830627441406
2022-03-31,BUY,CNDX.L,293.0,849.6400146484375,249.32750701581324,,
2022-05-31,SELL,CNDX.L,294.0,712.1599731445312,209.3750321044922,0.0,-40315.96716308594
2022-05-31,BUY,IB01.L,2064.0,102.05999755859376,210.924216091077,,
2023-05-31,SELL,IB01.L,2191.0,104.9000015258789,229.8359033432007,0.0,6100.298423767061
2023-05-31,BUY,IWDA.L,2920.0,79.25,231.65955733157978,,
2023-06-30,SELL,IWDA.L,2920.0,84.26000213623047,246.03920623779297,0.0,14629.206237792969
2023-06-30,BUY,CNDX.L,286.0,862.4349975585938,247.16817633580337,,
2025-04-30,SELL,CNDX.L,307.0,1106.4000244140625,339.6648074951172,0.0,71054.59301757812
2025-04-30,BUY,EIMI.L,9974.0,35.06999969482422,350.15439115376057,,
2025-05-30,SELL,EIMI.L,9974.0,36.77000045776367,366.7439845657349,0.0,16955.807609558105
2025-05-30,BUY,IWDA.L,3263.0,112.62999725341795,367.95954257759917,,
2025-06-30,SELL,IWDA.L,3263.0,117.66000366210938,383.9245919494629,0.0,16412.910911560117
2025-06-30,BUY,CNDX.L,296.0,1296.0,385.18681154463223,,
2025-07-31,SELL,CNDX.L,296.0,1342.199951171875,397.291185546875,0.0,13675.185546875
2025-07-31,BUY,IWDA.L,3324.0,120.08000183105467,399.64576128441576,,
2025-08-29,SELL,IWDA.L,3324.0,122.36000061035156,406.7246420288086,0.0,7578.715942382871
2025-08-29,BUY,CNDX.L,303.0,1341.800048828125,407.9843490134854,,
2025-12-31,SELL,CNDX.L,306.0,1467.5999755859375,449.0855925292969,0.0,38173.57775878906
2025-12-31,BUY,EIMI.L,9997.0,45.119998931884766,451.56112686416174,,
