date,action,ticker,shares,price,cost,tax,gain
2013-01-31,BUY,IWDA.L,274.0,32.689998626708984,35.1,,
2013-10-31,SELL,IWDA.L,274.0,38.02000045776367,40.62817248916626,0.0,1460.4205017089844
2013-10-31,BUY,CNDX.L,56.0,182.69000244140625,40.500300083957285,,
2016-02-29,SELL,CNDX.L,56.0,232.83999633789062,50.85225520019531,0.0,2808.399658203125
2016-02-29,BUY,CBU0.L,92.0,141.6199951171875,51.09678378534127,,
2016-04-29,SELL,CBU0.L,92.0,141.30999755859375,50.70202712402344,0.0,-28.519775390625
2016-04-29,BUY,CNDX.L,54.0,236.41000366210938,50.58854129877131,,
2016-05-31,SELL,CNDX.L,54.0,247.9600067138672,52.220377413940426,0.0,623.7001647949219
2016-05-31,BUY,CBU0.L,95.0,141.1699981689453,52.62001715849193,,
2016-06-30,SELL,CBU0.L,95.0,145.6649932861328,53.9688800125122,0.0,427.0245361328125
2016-06-30,BUY,CNDX.L,57.0,241.02999877929688,53.86971615044299,,
2016-07-29,SELL,CNDX.L,57.0,260.1000061035156,57.82023135681152,0.0,1086.9904174804688
2016-07-29,BUY,CBU0.L,101.0,145.78500366210938,57.67338798333853,,
2016-08-31,SELL,CBU0.L,101.0,144.56500244140625,56.94415446166992,0.0,-123.22012329101562
2016-08-31,BUY,CNDX.L,55.0,262.260009765625,56.745821086968036,,
2016-10-31,SELL,CNDX.L,55.0,265.07000732421875,56.85751657104492,0.0,154.54986572265625
2016-10-31,BUY,EIMI.L,628.0,23.139999389648438,56.90551254642015,,
2017-03-31,SELL,EIMI.L,628.0,24.739999771118164,60.593207439422606,0.0,1004.8002395629883
2017-03-31,BUY,CNDX.L,51.0,300.5400085449219,60.365988472771015,,
2017-11-30,SELL,CNDX.L,51.0,352.1300048828125,70.0386579711914,0.0,2631.089813232422
2017-11-30,BUY,EIMI.L,611.0,29.270000457763672,70.118660623246,,
2018-03-30,SELL,EIMI.L,611.0,30.770000457763672,73.32183409080505,0.0,916.5
2018-03-30,BUY,CNDX.L,51.0,363.07000732421875,73.13359269386119,,
2018-04-30,SELL,CNDX.L,51.0,370.67999267578125,73.7282505432129,0.0,388.1092529296875
2018-04-30,BUY,EIMI.L,622.0,30.389999389648438,74.07445759166238,,
2018-06-29,SELL,EIMI.L,622.0,28.049999237060547,68.04368814926147,0.0,-1455.480094909668
2018-06-29,BUY,CNDX.L,43.0,394.010009765625,67.84382445312508,,
2019-01-31,SELL,CNDX.L,43.0,385.07501220703125,64.57707954711914,0.0,-384.20489501953125
2019-01-31,BUY,CBU0.L,118.0,141.94000244140625,65.82898383694797,,
2019-02-28,SELL,CBU0.L,118.0,141.4499969482422,65.09528859558105,0.0,-57.820648193359375
2019-02-28,BUY,CNDX.L,41.0,396.8599853515625,65.09287864650699,,
2021-04-30,SELL,CNDX.L,41.0,782.614990234375,125.14013693847656,0.0,15815.955200195312
2021-04-30,BUY,EIMI.L,857.0,37.529998779296875,126.03319516648726,,
2021-07-30,SELL,EIMI.L,857.0,36.52000045776367,122.06079752998352,0.0,-865.5685615539551
2021-07-30,BUY,CNDX.L,36.0,843.3599853515625,121.68991120491062,,
2021-08-31,SELL,CNDX.L,36.0,879.1699829101562,123.43546560058593,0.0,1289.159912109375
2021-08-31,BUY,IWDA.L,370.0,86.61000061035156,125.76164589259574,,
2021-09-30,SELL,IWDA.L,370.0,83.37000274658203,120.30291396331786,0.0,-1198.7992095947266
2021-09-30,BUY,CNDX.L,36.0,838.1400146484375,120.12667719173824,,
2022-05-31,SELL,CNDX.L,36.0,712.1599731445312,99.98726022949218,0.0,-4535.281494140625
2022-05-31,BUY,IB01.L,254.0,102.05999755859375,101.580635008647,,
2023-05-31,SELL,IB01.L,254.0,104.9000015258789,103.91394151153564,0.0,721.3610076904297
2023-05-31,BUY,CNDX.L,32.0,808.6900024414062,103.59251409021097,,
2025-04-30,SELL,CNDX.L,32.0,1106.4000244140625,138.07872304687498,0.0,9526.720703125
2025-04-30,BUY,IWDA.L,337.0,105.76000213623047,139.8042070075638,,
2025-07-31,SELL,IWDA.L,337.0,120.08000183105469,157.82114640655516,0.0,4825.839897155762
2025-07-31,BUY,CNDX.L,29.0,1342.199951171875,157.46424372815622,,
2025-11-28,SELL,CNDX.L,29.0,1454.0,164.4474,0.0,3242.201416015625
2025-11-28,BUY,EIMI.L,975.0,44.189998626708984,168.85337384007735,,
