fold,train_start,train_end,test_start,test_end,selected_db,oos_return
0,2012-01-31,2014-12-31,2015-01-30,2015-12-31,0.0,0.11853430013456978
1,2013-01-31,2015-12-31,2016-01-29,2016-12-30,0.0,0.27102732135224983
2,2014-01-31,2016-12-30,2017-01-31,2017-12-29,0.05,0.2528022735365987
3,2015-01-30,2017-12-29,2018-01-31,2018-12-31,0.014,-0.22660386953087008
4,2016-01-29,2018-12-31,2019-01-31,2019-12-31,0.054,0.2108747671421154
5,2017-01-31,2019-12-31,2020-01-31,2020-12-31,0.014,0.4283566283276776
6,2018-01-31,2020-12-31,2021-01-29,2021-12-31,0.0,0.14292946820787078
7,2019-01-31,2021-12-31,2022-01-31,2022-12-30,0.068,-0.13569888749899872
8,2020-01-31,2022-12-30,2023-01-31,2023-12-29,0.068,0.19859543796356727
9,2021-01-29,2023-12-29,2024-01-31,2024-12-31,0.0,0.23978953662150615
10,2022-01-31,2024-12-31,2025-01-31,2025-12-31,0.0,0.10936013268623856
